fecha,canal,trx,ventas_clp,nieve_cm
2026-06-01,web,81,3688020,8.6
2026-06-01,taquilla,113,6517466,8.6
2026-06-01,hotel,48,2139162,8.6
2026-06-01,app,70,2956843,8.6
2026-06-02,web,109,4942995,13.8
2026-06-02,taquilla,163,9496356,13.8
2026-06-02,hotel,50,2477564,13.8
2026-06-02,app,71,3557818,13.8
2026-06-03,web,85,5697138,10.2
2026-06-03,taquilla,149,7697467,10.2
2026-06-03,hotel,59,2369271,10.2
2026-06-03,app,77,3951581,10.2
2026-06-04,web,78,4392091,7.3
2026-06-04,taquilla,127,6811405,7.3
2026-06-04,hotel,47,2292068,7.3
2026-06-04,app,64,4405440,7.3
2026-06-05,web,63,2328348,5.2
2026-06-05,taquilla,90,4732245,5.2
2026-06-05,hotel,54,3179359,5.2
2026-06-05,app,58,3045392,5.2
2026-06-06,web,118,6600236,11.5
2026-06-06,taquilla,181,8774801,11.5
2026-06-06,hotel,90,4802374,11.5
2026-06-06,app,114,5315351,11.5
2026-06-07,web,107,5590657,5.8
2026-06-07,taquilla,136,7975901,5.8
2026-06-07,hotel,63,3329060,5.8
2026-06-07,app,88,5297542,5.8
2026-06-08,web,107,5577553,18.1
2026-06-08,taquilla,158,8930217,18.1
2026-06-08,hotel,71,2946608,18.1
2026-06-08,app,96,3702196,18.1
2026-06-09,web,62,3049209,3.6
2026-06-09,taquilla,95,4503007,3.6
2026-06-09,hotel,47,2690261,3.6
2026-06-09,app,45,2613525,3.6
2026-06-10,web,84,5140007,11.2
2026-06-10,taquilla,134,6046143,11.2
2026-06-10,hotel,50,2337721,11.2
2026-06-10,app,70,4383608,11.2
2026-06-11,web,73,4528525,8.7
2026-06-11,taquilla,110,5621932,8.7
2026-06-11,hotel,46,2511236,8.7
2026-06-11,app,66,3493053,8.7
2026-06-12,web,94,5674109,10.3
2026-06-12,taquilla,120,6104584,10.3
2026-06-12,hotel,57,3502161,10.3
2026-06-12,app,68,3795602,10.3
2026-06-13,web,109,6347018,9.3
2026-06-13,taquilla,166,8623962,9.3
2026-06-13,hotel,68,3355288,9.3
2026-06-13,app,88,4982168,9.3
2026-06-14,web,88,4978162,4.1
2026-06-14,taquilla,131,6910750,4.1
2026-06-14,hotel,46,2384897,4.1
2026-06-14,app,76,4141214,4.1
2026-06-15,web,60,3623103,0.0
2026-06-15,taquilla,81,4585647,0.0
2026-06-15,hotel,30,1403155,0.0
2026-06-15,app,51,2659785,0.0
2026-06-16,web,97,6032047,9.7
2026-06-16,taquilla,107,6141517,9.7
2026-06-16,hotel,58,3526683,9.7
2026-06-16,app,70,4035316,9.7
2026-06-17,web,52,3265673,8.1
2026-06-17,taquilla,112,6548700,8.1
2026-06-17,hotel,56,2873682,8.1
2026-06-17,app,59,2768694,8.1
2026-06-18,web,73,3122369,7.4
2026-06-18,taquilla,109,5257533,7.4
2026-06-18,hotel,53,2773950,7.4
2026-06-18,app,60,3130905,7.4
2026-06-19,web,67,3328638,7.8
2026-06-19,taquilla,103,6020751,7.8
2026-06-19,hotel,46,2027123,7.8
2026-06-19,app,75,3421596,7.8
